Species,Family,Biol_realm,Growth_form,PFT,Life_history,Leaf_type,Phenology,Photosynthesis,Legume
Isatis tinctoria,Brassicaceae,Seed,H ,Fo ,P ,,,C3,N 
Jaumea carnosa,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Kennedia coccinea ,Fabaceae,Seed,W ,S ,,,,C3,L 
Kobresia humilis,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Kobresia myosuroides,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Kobresia pygmaea,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Kobresia tibetica,Cyperaceae,Seed,H ,G ,P ,,,C3,N 
Kochia prostrata,Chenopodiaceae,Seed,W ,S ,,,,C3,N 
Koeleria cristata,Gramineae,Seed,H ,G ,P ,,,C3,N 
Lagerstroemia parviflora,Lythraceae,Seed,W ,T ,,B ,D ,C3,N 
Larix gmelinii,Pinaceae,Seed,W ,T ,,C ,D ,C3,N 
Larix kaempferi,Pinaceae,Seed,W ,T ,,C ,D ,C3,N 
Larix laricina,Pinaceae,Seed,W ,T ,,C ,D ,C3,N 
Larix leptolepis,Pinaceae,Seed,W ,T ,,C ,D ,C3,N 
Larix olgensis,Pinaceae,Seed,W ,T ,,C ,D ,C3,N 
Larix Principis-rupprechtii,Pinaceae,Seed,W ,T ,,C ,D ,C3,N 
Larrea tridentata,Zygophyllaceae,Seed,W ,S ,,,,C3,N 
Lasthenia californica,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Lathyrus pratensis,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Lathyrus vernus,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Layia gaillardioides,Asteraceae,Seed,H ,Fo ,A ,,,C4,N 
Ledum groenlandicum,Ericaceae,Seed,W ,S ,,,,C3,N 
Ledum palustre,Ericaceae,Seed,W ,S ,,,,C3,N 
Lemna minor,Lemnaceae,Seed,H ,Fo ,P ,,,C3,N 
Lespedeza capitata,Fabaceae,Seed,W ,S ,,,,C3,L 
Lespedeza davurica,Fabaceae,Seed,W ,S ,,,,C3,L 
Leucaena leucocephala,Fabaceae,Seed,W ,T ,,B ,E ,C3,L 
Leymus chinensis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Linnaea borealis,Caprifoliaceae,Seed,W ,S ,,,,C3,N 
Linum usitatissimum,Linaceae,Seed,H ,Fo ,A ,,,C3,N 
Liriodendron tulipifera,Magnoliaceae,Seed,W ,T ,,B ,D ,C3,N 
lithraea caustica,Anacardiaceae,Seed,W ,T ,,B ,E ,C3,N 
Lolium multiflorum,Gramineae,Seed,H ,G ,A ,,,C3,N 
Lolium perenne ,Gramineae,Seed,H ,G ,P ,,,C3,N 
Lotus corniculatus,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Lotus wrangelianus,Fabaceae,Seed,H ,Fo ,A ,,,C3,L 
Lupinus perennis,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Luzula alpinopilosa,Juncaceae,Seed,H ,G ,P ,,,C3,N 
Lycium barbarum,Solanaceae,Seed,W ,S ,,,,C3,N 
Lyngbya majuscula,Oscillatoriaceae,Spore,O ,A,,,,,
Lyonia lucida,Ericaceae,Seed,W ,S ,,,,C3,N 
Macaranga gigantea,Euphorbiaceae,Seed,W ,T ,,B ,E ,C3,N 
Macaranga heynei,Euphorbiaceae,Seed,W ,T ,,B ,E ,C3,N 
Malcolmia africana,Brassicaceae,Seed,H ,Fo ,A ,,,C3,N 
Malus coronaria,Rosaceae,Seed,W ,T ,,B ,D ,C3,N 
Masonhalea richardsonni,Parmeliaceae,Spore,O ,L ,,,,,
Matricaria discoidea,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Matricaria recutita,Asteraceae,Seed,H ,Fo ,A ,,,C3,N 
Medicago lupulina,Fabaceae,Seed,H ,Fo ,A ,,,C3,L 
Medicago minima,Fabaceae,Seed,H ,Fo ,A ,,,C3,L 
Medicago sativa,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Medicago truncatula,Fabaceae,Seed,H ,Fo ,A ,,,C3,L 
Melaleuca ericifolia,Myrtaceae ,Seed,W ,S ,,,,C3,N
Melicope glabra,Rutaceae,Seed,W ,T ,,B ,E ,C3,N 
Melilotoides ruthenica,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Melilotus altissima,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Melinis minutiflora,Gramineae,Seed,H ,G ,P ,,,C4,N 
Merremia hederacea,Convolvulaceae,Seed,H ,Fo ,A ,,,C3,N 
Metrosideros polymorpha,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Metrosideros umbellata,Myrtaceae,Seed,W ,T ,,B ,E ,C3,N 
Miconia barbinervis,Melastomataceae,Seed,W ,S ,,,,C3,N 
Miconia gracilis,Melastomataceae,Seed,W ,S ,,,,C3,N 
Miconia nervosa ,Melastomataceae,Seed,W ,S ,,,,C3,N 
Milium effusum,Gramineae,Seed,H ,G ,P ,,,C3,N 
Molinia caerulea,Gramineae,Seed,H ,G ,P ,,,C3,N 
Nardus stricta,Gramineae,Seed,H ,G ,P ,,,C3,N 
Narthecium ossifragum,Liliaceae,Seed,H ,Fo ,P ,,,C3,N 
Nassella pulchra,Gramineae,Seed,H ,G ,P ,,,C3,N 
Nepeta micrantha,Labiatae,Seed,H ,Fo ,A ,,,C3,N 
Onobrychis viciifolia,Fabaceae,Seed,H ,Fo ,P ,,,C3,L 
Ononis spinosa,Fabaceae,Seed,W ,S ,,,,C3,L 
Oplismenus burmannii ,Gramineae,Seed,H ,G ,A ,,,C4,N 
Ormosia pinnata,Fabaceae,Seed,W ,T ,,B ,E ,C3,L 
Oxalis purpurea,Oxalidaceae,Seed,H ,Fo ,P ,,,C3,N 
Panicum crus-galli,Gramineae,Seed,H ,G ,A ,,,C4,N 
Panicum hemitomon,Gramineae,Seed,H ,G ,P ,,,C3,N 
Panicum miliaceum,Gramineae,Seed,H ,G ,A ,,,C4,N 
Panicum psilopodium ,Gramineae,Seed,H ,G ,A ,,,C4,N 
Panicum virgatum ,Gramineae,Seed,H ,G ,P ,,,C4,N 
Papaver dubium,Papaveraceae,Seed,H ,Fo ,A ,,,C3,N 
Pascopyrum smithii,Gramineae,Seed,H ,G ,P ,,,C3,N 
Paspalum urvillei,Gramineae,Seed,H ,G ,P ,,,C4,N 
Pedicularis nordmanniana,Scrophulariaceae,Seed,H ,Fo ,P ,,,C3,N 
Pennisetum centrasiaticum,Gramineae,Seed,H ,G ,P ,,,C4,N 
Pennisetum pedicellatum,Gramineae,Seed,H ,G ,A ,,,C3,N 
Peronema canescens,Lamiaceae,Seed,W ,T ,,B ,E ,C3,N 
Persea rimosa,Lauraceae,Seed,W ,T ,,B ,E ,C3,N 
Phalaris arundinacea,Gramineae,Seed,H ,G ,P ,,,C3,N 
Phragmites australis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Phyllanthus emblica,Euphorbiaceae,Seed,W ,T ,,B ,D ,C3,N 
Phytolacca rivinoides,Phytolaccaceae,Seed,H ,Fo ,P ,,,C3,N 
Picea abies,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Picea asperata,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Picea engelmannii,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Picea glauca,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Picea mariana,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Picea rubens,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Picris hieracioides,Asteraceae,Seed,H ,Fo ,P ,,,C3,N 
Pinus banksiana,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus echinata,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus elliottii,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus massoniana,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus ponderosa,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus resinosa,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus rigida,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus sylvestris,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus tabulaeformis,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus tabuliformis,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Pinus taeda ,Pinaceae,Seed,W ,T ,,C ,E ,C3,N 
Piper arieianum ,Piperaceae,Seed,W ,S ,,,,C3,N 
Piper culebranum ,Piperaceae,Seed,W ,S ,,,,C3,N 
Piper urostachyum,Piperaceae,Seed,W ,S ,,,,C3,N 
Pisum sativum ,Fabaceae,Seed,H ,Fo ,A ,,,C3,L 
Plantago erecta,Plantaginaceae,Seed,H ,Fo ,A ,,,C3,N 
Plantago lanceolata ,Plantaginaceae,Seed,H ,Fo ,P ,,,C3,N 
Platanus occidentalis,Platanaceae,Seed,W ,T ,,B ,D ,C3,N 
Pleioblastus amarus,Gramineae,Seed,H ,G ,P ,,,C3,N 
Pleurozium schreberi,Hylocomiaceae,Spore,O ,M ,,,,,
Poa alpina,Gramineae,Seed,H ,G ,P ,,,C3,N 
Poa arctica,Gramineae,Seed,H ,G ,P ,,,C3,N 
Poa compressa,Gramineae,Seed,H ,G ,P ,,,C3,N 
Poa pratensis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Poa trivialis,Gramineae,Seed,H ,G ,P ,,,C3,N 
Polygonum bistorta,Polygonaceae,Seed,H ,Fo ,P ,,,C3,N 
Populus ×euramericana cv.Eugenei,Salicaceae,Seed,W ,T ,,B ,D ,C3,N 
